# from	to	tags
埔裡社撫墾局	埔里社撫墾局	rime-conversion,modern-zh-tw,toponym-normalization
湖裡區	湖里區	rime-conversion,modern-zh-tw,toponym-normalization
道裡區	道里區	rime-conversion,modern-zh-tw,toponym-normalization
胡裡山炮臺	胡里山炮臺	rime-conversion,modern-zh-tw,toponym-normalization
裡肌	里肌	rime-conversion,modern-zh-tw,food-term-normalization
裡肌肉	里肌肉	rime-conversion,modern-zh-tw,food-term-normalization
裡脊	里肌	rime-conversion,modern-zh-tw,food-term-normalization
裡脊肉	里肌肉	rime-conversion,modern-zh-tw,food-term-normalization
牛裡脊	牛里肌	rime-conversion,modern-zh-tw,food-term-normalization
糖醋裡脊	糖醋里肌	rime-conversion,modern-zh-tw,food-term-normalization
軟炸裡脊	軟炸里肌	rime-conversion,modern-zh-tw,food-term-normalization
豬裡脊肉	豬里肌肉	rime-conversion,modern-zh-tw,food-term-normalization
